id,group,score,answer_keypoints,forbidden_content,source_hit,product_hit,format,forbidden_hits,answer_chars,ok,status_code
R001,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],111,True,200
R002,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],101,True,200
R003,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],103,True,200
R004,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],73,True,200
R005,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],931,True,200
R006,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],1540,True,200
P001,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1400,True,200
P002,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1751,True,200
P003,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1260,True,200
P004,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],993,True,200
P005,parameter,0.975,1.0,1.0,0.75,1.0,1.0,[],1592,True,200
P006,parameter,0.875,0.75,1.0,1.0,1.0,1.0,[],1274,True,200
P007,parameter,0.55,0.5,1.0,0.0,1.0,1.0,[],247,True,200
P008,parameter,0.675,0.75,1.0,0.0,1.0,1.0,[],123,True,200
REC001,recommendation,0.85,1.0,1.0,0.25,1.0,1.0,[],1222,True,200
REC002,recommendation,0.8,1.0,1.0,0.25,1.0,0.0,[],1058,True,200
REC003,recommendation,0.7,0.6,1.0,0.5,1.0,1.0,[],950,True,200
REC004,recommendation,0.9,1.0,1.0,0.5,1.0,1.0,[],1485,True,200
REC005,recommendation,0.8,1.0,1.0,0.25,1.0,0.0,[],935,True,200
REC006,recommendation,0.7,0.75,1.0,0.75,0.0,0.0,[],640,True,200
REC007,recommendation,0.7,0.6,1.0,0.5,1.0,1.0,[],1489,True,200
REC008,recommendation,0.85,1.0,1.0,0.25,1.0,1.0,[],923,True,200
REC009,recommendation,0.525,0.75,0.0,0.5,1.0,1.0,"[""最强""]",865,True,200
REC010,recommendation,0.9,1.0,1.0,0.5,1.0,1.0,[],1931,True,200
REC011,recommendation,0.9,1.0,1.0,0.5,1.0,1.0,[],1137,True,200
REC012,recommendation,0.8,1.0,1.0,0.25,1.0,0.0,[],1528,True,200
REC013,recommendation,0.8,0.8,1.0,0.5,1.0,1.0,[],1255,True,200
REC014,recommendation,0.9,1.0,1.0,0.5,1.0,1.0,[],965,True,200
CMP001,comparison,0.8667,1.0,1.0,0.3333,1.0,1.0,[],698,True,200
CMP002,comparison,0.8,1.0,1.0,0.0,1.0,1.0,[],1927,True,200
CMP003,comparison,0.625,0.75,1.0,0.0,1.0,0.0,[],351,True,200
CMP004,comparison,0.5667,0.4,1.0,0.3333,1.0,1.0,[],1522,True,200
CMP005,comparison,0.6667,0.6,1.0,0.3333,1.0,1.0,[],1123,True,200
CMP006,comparison,0.7167,0.8,1.0,0.3333,1.0,0.0,[],1407,True,200
CMP007,comparison,0.65,0.8,1.0,0.0,1.0,0.0,[],912,True,200
CMP008,comparison,0.55,0.6,1.0,0.0,1.0,0.0,[],872,True,200
CMP009,comparison,0.75,1.0,1.0,0.0,1.0,0.0,[],1562,True,200
CMP010,comparison,0.6167,0.6,1.0,0.3333,1.0,0.0,[],850,True,200
CMP011,comparison,0.7167,0.8,1.0,0.3333,1.0,0.0,[],1898,True,200
CMP012,comparison,0.8167,1.0,1.0,0.3333,1.0,0.0,[],1480,True,200
G001,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],876,True,200
G002,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],490,True,200
G003,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1344,True,200
G004,general_training_safety,0.625,0.25,1.0,1.0,1.0,1.0,[],950,True,200
G005,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1060,True,200
G006,general_training_safety,0.7,0.8,1.0,0.0,1.0,1.0,[],772,True,200
G007,general_training_safety,0.9,0.8,1.0,1.0,1.0,1.0,[],1169,True,200
G008,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1053,True,200
G009,general_training_safety,0.7417,0.75,1.0,0.3333,1.0,1.0,[],157,True,200
G010,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],798,True,200
U001,grounding_policy,0.85,1.0,1.0,0.25,1.0,1.0,[],1463,True,200
U002,grounding_policy,0.8,1.0,1.0,0.0,1.0,1.0,[],103,True,200
U003,grounding_policy,0.725,0.75,1.0,0.25,1.0,1.0,[],686,True,200
U004,grounding_policy,0.475,0.75,0.0,0.25,1.0,1.0,"[""闭眼入""]",1155,True,200
U005,grounding_policy,0.725,0.75,1.0,0.25,1.0,1.0,[],208,True,200
U006,grounding_policy,0.8,1.0,1.0,0.0,1.0,1.0,[],136,True,200
U007,grounding_policy,0.725,0.75,1.0,0.25,1.0,1.0,[],1396,True,200
U008,grounding_policy,0.475,0.25,1.0,0.25,1.0,1.0,[],1455,True,200
F001,product_fact,0.725,0.5,1.0,0.6667,1.0,1.0,[],912,True,200
F002,product_fact,0.7875,0.75,1.0,0.3333,1.0,1.0,[],1310,True,200
F003,product_fact,0.77,0.6,1.0,0.6667,1.0,1.0,[],1081,True,200
F004,recommendation,0.98,1.0,1.0,0.8,1.0,1.0,[],1508,True,200
F005,recommendation,0.9667,1.0,1.0,0.6667,1.0,1.0,[],1205,True,200
F006,recommendation,0.71,0.6,1.0,0.8,1.0,0.0,[],469,True,200
