序号,raw_name,standard_name,brand,brand_cn,model_canonical,model_display,model_aliases,reference_price,price_note,knowledge_record_id,knowledge_name,match_status,price_alignment,auto_sync_to_kb,review_required,review_reason,action
7,NANORAY Z SPEED BP NRZSPBP 锐速系列,YONEX NANORAY Z SPEED BP,YONEX,尤尼克斯,NANORAY Z SPEED BP,YONEX NANORAY Z SPEED BP,NANORAY Z SPEED BP NRZSPBP 锐速系列；YONEX NANORAY Z SPEED；锐速,680,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANORAY-Z-SPEED,YONEX NANORAY Z SPEED,可按基准型号对应,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
20,ASTROX 88D PRO BP 88DPROBP 天斧88DPROBP 88DPRO日本限定,YONEX ASTROX 88D PRO,YONEX,尤尼克斯,ASTROX 88D PRO,YONEX ASTROX 88D PRO,ASTROX 88D PRO BP 88DPROBP 天斧88DPROBP 88DPRO日本限定；YONEX ASTROX 88D PRO；ASTROX88D；BP88DPROBP；天斧,1850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-88D-PRO,YONEX ASTROX 88D PRO,低置信对应-需人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
21,ASTROX 88D TOUR BP 88DTOURBP 3AX88DTOURBP,YONEX ASTROX 88D TOUR,YONEX,尤尼克斯,ASTROX 88D TOUR,YONEX ASTROX 88D TOUR,ASTROX 88D TOUR BP 88DTOURBP 3AX88DTOURBP；YONEX ASTROX 88D TOUR；ASTROX88D；BP88DTOURBP,980,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-88D-TOUR,YONEX ASTROX 88D TOUR,低置信对应-需人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
22,ASTROX 88S PRO BP 88SPROBP 天斧88SPROBP 88SPRO日本限定,YONEX ASTROX 88S PRO,YONEX,尤尼克斯,ASTROX 88S PRO,YONEX ASTROX 88S PRO,ASTROX 88S PRO BP 88SPROBP 天斧88SPROBP 88SPRO日本限定；YONEX ASTROX 88S PRO；ASTROX88S；BP88SPROBP；天斧,1850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-88S-PRO,YONEX ASTROX 88S PRO,低置信对应-需人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
23,ASTROX 88S TOUR BP 3AX88STOURBP 88STOURBP,YONEX ASTROX 88S TOUR,YONEX,尤尼克斯,ASTROX 88S TOUR,YONEX ASTROX 88S TOUR,ASTROX 88S TOUR BP 3AX88STOURBP 88STOURBP；YONEX ASTROX 88S TOUR；ASTROX88S；BP3AX88STOURBP,980,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-88S-TOUR,YONEX ASTROX 88S TOUR,低置信对应-需人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
25,ASTROX ZERO AX,YONEX ASTROX,YONEX,尤尼克斯,ASTROX,YONEX ASTROX,ASTROX ZERO AX；YONEX ASTROX ZERO,399,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-ZERO,YONEX ASTROX ZERO,歧义，需要人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
26,ASTROX 小灰切 ASTROX1小灰切 AX1小灰切 天斧小灰切,YONEX ASTROX,YONEX,尤尼克斯,ASTROX,YONEX ASTROX,ASTROX 小灰切 ASTROX1小灰切 AX1小灰切 天斧小灰切；YONEX ASTROX；天斧,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX,YONEX ASTROX,精确对应,已对应（在知识库价格范围内）,NO,YES,疑似匹配到系列/泛型号，需人工确认,已标准化商品名；知识库价格不同步，需人工确认
31,Carbonex 23 CAB23,YONEX CARBONEX 23,YONEX,尤尼克斯,CARBONEX 23,YONEX CARBONEX 23,Carbonex 23 CAB23；YONEX CARBONEX 23；CARBONEX23；CAB23,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-23,YONEX CARBONEX 23,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
36,MUSCLE POWER 2JR MP2JR,YONEX MUSCLE POWER 2 JR,YONEX,尤尼克斯,MUSCLE POWER 2 JR,YONEX MUSCLE POWER 2 JR,MUSCLE POWER 2JR MP2JR；YONEX MUSCLE POWER 2 JR；POWER2JR；MP2JR,180,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-2-JR,YONEX MUSCLE POWER 2 JR,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
43,天斧ET AXETCR 天斧金切,YONEX ASTROX,YONEX,尤尼克斯,ASTROX,YONEX ASTROX,天斧ET AXETCR 天斧金切；YONEX ASTROX ET；天斧,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-ET,YONEX ASTROX ET,歧义，需要人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
